Algorithm,a,b,c,e,f,l,delta,Rank
BKA,70.261,10,10,10,150,79.6364,10,1
WOA,70.1993,10.0625,55.5236,10,137.453,79.6372,80.5452,2
SCA,70.0167,10.4202,10,10,12.5335,79.7853,77.7023,3
FOX,59.9975,20.2635,78.915,10,83.4681,79.6363,40.973,4
PLO,70.2624,10,10,10,10,79.6378,10,5
EPLO,70.2537,10.0078,125.996,10,38.2248,79.6368,47.9091,6
ALO,48.5962,29.5222,114.464,17.9927,49.4607,76.0067,101.491,7
BA,72.2994,10,39.6373,10.215,122.917,80.5683,107.468,8
GSA,64.5434,22.3467,138.974,43.1991,42.2205,70.4183,51.7632,9
HHO,54.1447,26.1168,40.8182,10,105.475,79.6368,25.609,10
MFO,74.2006,10,10,10,10,80.7247,10,11
