Algorithm,b,m,p,l1,l2,d1,d2,OptimalCost,Rank
BKA,3.6,2.6,4,3.6,3.6,3.08666547678448,3.6,127061173306.739,1
WOA,3.6,2.6,4,3.6,3.6,3.08666546460803,3.6,127061173306.739,2
SCA,3.6,2.6,4,3.6,3.6,3.08630523954271,3.6,127061176092.62,6
FOX,3.6,2.6,4,3.6,3.6,3.08665781082825,3.6,127061173307.998,5
PLO,3.6,2.6,4,3.6,2.6,3.08666546581248,3.6,138824341436.258,10
EPLO,3.6,2.6,4,3.6,3.6,3.08666546558255,3.6,127061173306.739,3
ALO,3.57538029107491,2.6242777969102,3,3.4979809859714,2.95727629595907,2.9091917770048,3.53863881140691,145061569558.315,11
BA,3.6,2.6,3,3.6,3.29633693952825,3.6,3.6,136602984803.782,9
GSA,3.6,2.6,4,3.6,3.6,3.6,3.6,130250105266.812,8
HHO,3.6,2.6,4,3.6,3.6,3.08666547773176,3.6,127061173306.739,4
MFO,3.6,2.6,4,3.6,3.6,3.13481610651952,3.6,127108541537.565,7
