Algorithm,N1,N2,N3,N4,N5,N6,m1,m2,p,OptimalCost,Rank
BKA,38,17,17,18,17,74,3,3,5,9.525e+21,1
WOA,38,17,17,18,17,74,3,3,5,9.525e+21,2
SCA,36,17,17,17,17,74,3,3,5,1.3025e+22,5
FOX,44,17,17,42,17,74,3,3,5,7.7525e+22,7
PLO,38,17,17,18,17,74,3,3,5,9.525e+21,3
EPLO,38,17,17,18,17,74,3,3,5,9.525e+21,4
ALO,24,28,25,46,21,60,3,3,5,7.96199048028233e+23,9
BA,19,36,40,46,34,48,3,3,5,1.191525e+24,10
GSA,43,26,18,46,20,48,3,3,5,2.7726733512076e+24,11
HHO,32,20,17,42,17,72,3,3,5,3.0225e+22,6
MFO,17,17,17,46,17,58,3,3,5,2.366e+23,8
