Algorithm,h,l,t,b,OptimalCost,Rank
BKA,0.964631404686469,2,2,2,1.08900000001821e+19,1
WOA,0.964631378275896,2,2,2,1.08900000001821e+19,2
SCA,0.964747227463638,2,2,2,1.08900000001834e+19,7
FOX,0.964631600565819,2,2,2,1.08900000001821e+19,6
PLO,0.964631395692806,2,2,2,1.08900000001821e+19,3
EPLO,0.96463138759508,2,2,2,1.08900000001821e+19,4
ALO,1.50507221342917,1.10245310890585,1.97844751093245,1.99669878125885,1.18931982815316e+19,11
BA,1.33583117874654,1.23687479664856,2,2,1.08900000013722e+19,9
GSA,1.25593527961826,2,2,2,1.08900000244647e+19,10
HHO,0.964631396255784,2,2,2,1.08900000001821e+19,5
MFO,0.993968274547302,2,2,2,1.08900000006858e+19,8
